id,round,group,home,away,date,time,homeScore,awayScore,status
1,Vòng bảng,A,Mexico,Nam Phi,2026-06-12,02:00,,,upcoming
2,Vòng bảng,A,Hàn Quốc,CH Séc,2026-06-12,09:00,,,upcoming
3,Vòng bảng,B,Canada,Bosnia & Herzegovina,2026-06-13,03:00,,,upcoming
4,Vòng bảng,D,Mỹ,Paraguay,2026-06-13,08:00,,,upcoming
5,Vòng bảng,B,Qatar,Thụy Sĩ,2026-06-14,02:00,,,upcoming
6,Vòng bảng,C,Brazil,Morocco,2026-06-14,05:00,,,upcoming
7,Vòng bảng,C,Haiti,Scotland,2026-06-14,08:00,,,upcoming
8,Vòng bảng,D,Australia,Thổ Nhĩ Kỳ,2026-06-14,23:00,,,upcoming
9,Vòng bảng,E,Đức,Curacao,2026-06-15,00:00,,,upcoming
10,Vòng bảng,F,Hà Lan,Nhật Bản,2026-06-15,03:00,,,upcoming
11,Vòng bảng,E,Bờ Biển Ngà,Ecuador,2026-06-15,06:00,,,upcoming
12,Vòng bảng,F,Thụy Điển,Tunisia,2026-06-15,09:00,,,upcoming
13,Vòng bảng,H,Tây Ban Nha,Cape Verde,2026-06-15,23:00,,,upcoming
14,Vòng bảng,G,Bỉ,Ai Cập,2026-06-16,02:00,,,upcoming
15,Vòng bảng,H,Saudi Arabia,Uruguay,2026-06-16,05:00,,,upcoming
16,Vòng bảng,G,Iran,New Zealand,2026-06-16,08:00,,,upcoming
17,Vòng bảng,I,Pháp,Senegal,2026-06-17,02:00,,,upcoming
18,Vòng bảng,I,Iraq,Na Uy,2026-06-17,05:00,,,upcoming
19,Vòng bảng,J,Argentina,Algeria,2026-06-17,08:00,,,upcoming
20,Vòng bảng,J,Áo,Jordan,2026-06-17,11:00,,,upcoming
21,Vòng bảng,K,Bồ Đào Nha,CHDC Congo,2026-06-18,00:00,,,upcoming
22,Vòng bảng,L,Anh,Croatia,2026-06-18,03:00,,,upcoming
23,Vòng bảng,L,Ghana,Panama,2026-06-18,06:00,,,upcoming
24,Vòng bảng,K,Uzbekistan,Colombia,2026-06-18,09:00,,,upcoming
25,Vòng bảng,A,CH Séc,Nam Phi,2026-06-18,23:00,,,upcoming
26,Vòng bảng,B,Thụy Sĩ,Bosnia & Herzegovina,2026-06-19,02:00,,,upcoming
27,Vòng bảng,B,Canada,Qatar,2026-06-19,05:00,,,upcoming
