group,team,p,w,d,l,gf,ga,pts
A,Mexico,0,0,0,0,0,0,0
A,Nam Phi,0,0,0,0,0,0,0
A,Hàn Quốc,0,0,0,0,0,0,0
A,CH Séc,0,0,0,0,0,0,0
B,Canada,0,0,0,0,0,0,0
B,Bosnia & Herzegovina,0,0,0,0,0,0,0
B,Qatar,0,0,0,0,0,0,0
B,Thụy Sĩ,0,0,0,0,0,0,0
C,Brazil,0,0,0,0,0,0,0
C,Morocco,0,0,0,0,0,0,0
C,Haiti,0,0,0,0,0,0,0
C,Scotland,0,0,0,0,0,0,0
D,Mỹ,0,0,0,0,0,0,0
D,Paraguay,0,0,0,0,0,0,0
D,Australia,0,0,0,0,0,0,0
D,Thổ Nhĩ Kỳ,0,0,0,0,0,0,0
E,Đức,0,0,0,0,0,0,0
E,Curacao,0,0,0,0,0,0,0
E,Bờ Biển Ngà,0,0,0,0,0,0,0
E,Ecuador,0,0,0,0,0,0,0
F,Hà Lan,0,0,0,0,0,0,0
F,Nhật Bản,0,0,0,0,0,0,0
F,Thụy Điển,0,0,0,0,0,0,0
F,Tunisia,0,0,0,0,0,0,0
G,Bỉ,0,0,0,0,0,0,0
G,Ai Cập,0,0,0,0,0,0,0
G,Iran,0,0,0,0,0,0,0
G,New Zealand,0,0,0,0,0,0,0
H,Tây Ban Nha,0,0,0,0,0,0,0
H,Cape Verde,0,0,0,0,0,0,0
H,Saudi Arabia,0,0,0,0,0,0,0
H,Uruguay,0,0,0,0,0,0,0
I,Pháp,0,0,0,0,0,0,0
I,Senegal,0,0,0,0,0,0,0
I,Iraq,0,0,0,0,0,0,0
I,Na Uy,0,0,0,0,0,0,0
J,Argentina,0,0,0,0,0,0,0
J,Algeria,0,0,0,0,0,0,0
J,Áo,0,0,0,0,0,0,0
J,Jordan,0,0,0,0,0,0,0
K,Bồ Đào Nha,0,0,0,0,0,0,0
K,CHDC Congo,0,0,0,0,0,0,0
K,Uzbekistan,0,0,0,0,0,0,0
K,Colombia,0,0,0,0,0,0,0
L,Anh,0,0,0,0,0,0,0
L,Croatia,0,0,0,0,0,0,0
L,Ghana,0,0,0,0,0,0,0
L,Panama,0,0,0,0,0,0,0
